2025-02-25 15:52:38.461 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-02-25 15:55:25.739 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:55:25.744 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:55:28.198 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:55:28.202 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:55:40.072 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:55:40.078 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:55:56.275 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:55:56.278 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:56:01.750 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:56:01.783 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:56:04.759 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:56:04.763 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:56:19.906 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:56:19.911 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:56:20.688 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:56:20.691 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:56:21.231 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:56:21.236 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:56:23.895 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:56:23.899 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:56:44.067 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:56:44.072 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:56:46.776 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:56:46.780 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
